Symbol,EXPIERY,Quantity,StrikeStep,AllowedPercentage,StepSize,StepNumber,StepPercentage,OptionType,MarginRequired
360ONE,31-07-2025,2,20,3,20,2,15,CE,25000
AARTIIND,31-07-2025,2,5,3,5,2,15,CE,25000
ABB,31-07-2025,2,100,3,100,2,15,CE,25000
ABCAPITAL,31-07-2025,2,2.5,3,2.5,2,15,CE,25000
ABFRL,31-07-2025,2,1,3,1,2,15,CE,25000
ACC,31-07-2025,2,20,3,20,2,15,CE,25000
ADANIENSOL,31-07-2025,2,20,3,20,2,15,CE,25000
ADANIENT,31-07-2025,2,20,3,20,2,15,CE,25000
ADANIGREEN,31-07-2025,2,20,3,20,2,15,CE,25000
ADANIPORTS,31-07-2025,2,20,3,20,2,15,CE,25000
ALKEM,31-07-2025,2,50,3,50,2,15,CE,25000
AMBER,31-07-2025,2,100,3,100,2,15,CE,25000
AMBUJACEM,31-07-2025,2,5,3,5,2,15,CE,25000
ANGELONE,31-07-2025,2,50,3,50,2,15,CE,25000
APLAPOLLO,31-07-2025,2,20,3,20,2,15,CE,25000
APOLLOHOSP,31-07-2025,2,50,3,50,2,15,CE,25000
ASHOKLEY,31-07-2025,2,2.5,3,2.5,2,15,CE,25000
ASIANPAINT,31-07-2025,2,20,3,20,2,15,CE,25000
ASTRAL,31-07-2025,2,20,3,20,2,15,CE,25000
ATGL,31-07-2025,2,10,3,10,2,15,CE,25000
AUBANK,31-07-2025,2,5,3,5,2,15,CE,25000
AUROPHARMA,31-07-2025,2,20,3,20,2,15,CE,25000
AXISBANK,31-07-2025,2,10,3,10,2,15,CE,25000
BAJAJ-AUTO,31-07-2025,2,50,3,50,2,15,CE,25000
BAJAJFINSV,31-07-2025,2,20,3,20,2,15,CE,25000
BAJFINANCE,31-07-2025,2,10,3,10,2,15,CE,25000
BALKRISIND,31-07-2025,2,20,3,20,2,15,CE,25000
BANDHANBNK,31-07-2025,2,2.5,3,2.5,2,15,CE,25000
BANKBARODA,31-07-2025,2,5,3,5,2,15,CE,25000
BANKINDIA,31-07-2025,2,0.95,3,0.95,2,15,CE,25000
BDL,31-07-2025,2,50,3,50,2,15,CE,25000
BEL,31-07-2025,2,5,3,5,2,15,CE,25000
BHARATFORG,31-07-2025,2,20,3,20,2,15,CE,25000
BHARTIARTL,31-07-2025,2,20,3,20,2,15,CE,25000
BHEL,31-07-2025,2,5,3,5,2,15,CE,25000
BIOCON,31-07-2025,2,5,3,5,2,15,CE,25000
BLUESTARCO,31-07-2025,2,20,3,20,2,15,CE,25000
BOSCHLTD,31-07-2025,2,250,3,250,2,15,CE,25000
BPCL,31-07-2025,2,5,3,5,2,15,CE,25000
BRITANNIA,31-07-2025,2,50,3,50,2,15,CE,25000
BSE,31-07-2025,2,50,3,50,2,15,CE,25000
BSOFT,31-07-2025,2,5,3,5,2,15,CE,25000
CAMS,31-07-2025,2,50,3,50,2,15,CE,25000
CANBK,31-07-2025,2,1,3,1,2,15,CE,25000
CDSL,31-07-2025,2,20,3,20,2,15,CE,25000
CESC,31-07-2025,2,2.5,3,2.5,2,15,CE,25000
CGPOWER,31-07-2025,2,10,3,10,2,15,CE,25000
CHAMBLFERT,31-07-2025,2,10,3,10,2,15,CE,25000
CHOLAFIN,31-07-2025,2,20,3,20,2,15,CE,25000
CIPLA,31-07-2025,2,20,3,20,2,15,CE,25000
COALINDIA,31-07-2025,2,5,3,5,2,15,CE,25000
COFORGE,31-07-2025,2,20,3,20,2,15,CE,25000
COLPAL,31-07-2025,2,20,3,20,2,15,CE,25000
CONCOR,31-07-2025,2,10,3,10,2,15,CE,25000
CROMPTON,31-07-2025,2,5,3,5,2,15,CE,25000
CUMMINSIND,31-07-2025,2,50,3,50,2,15,CE,25000
CYIENT,31-07-2025,2,20,3,20,2,15,CE,25000
DABUR,31-07-2025,2,5,3,5,2,15,CE,25000
DALBHARAT,31-07-2025,2,20,3,20,2,15,CE,25000
DELHIVERY,31-07-2025,2,5,3,5,2,15,CE,25000
DIVISLAB,31-07-2025,2,50,3,50,2,15,CE,25000
DIXON,31-07-2025,2,250,3,250,2,15,CE,25000
DLF,31-07-2025,2,10,3,10,2,15,CE,25000
DMART,31-07-2025,2,50,3,50,2,15,CE,25000
DRREDDY,31-07-2025,2,10,3,10,2,15,CE,25000
EICHERMOT,31-07-2025,2,50,3,50,2,15,CE,25000
ETERNAL,31-07-2025,2,5,3,5,2,15,CE,25000
